name,iata
Суринда,СДР
Полигус,ПГУ
Новокуровка,НУВ
Инта,INA
Владивосток,VVO
Северо-Енисейский,VEO
Шерегеш,ШГШ
Калуга,KLF
Самара,KUF
Агзу,АЗУ
Вампугольск,ВМП
Верхневилюйск,VHV
Олёкминск,OLZ
Тиличики,ТИЛ
Красный Кут,КСЫ
Челябинск,CEK
Саратов,RTW
Краснокаменск,КНК
Сунтар,SUY
Волгоград,VOG
Минеральные Воды,MRV
Сосновый Бор,СБР
Херпучи,ХРП
Нальчик,NAL
Вилюйск,VYI
Ачинск,ACS
Стрежевой,SWT
Николаевск-на-Амуре,NLI
Сусуман,ССМ
Мирный,MJZ
Енисейск,EIE
Усть-Кокса,УКО
Бор,TGP
Соловецкий,CSH
Беринговский,БНГ
Томск,TOF
Советская Гавань,GVN
Бугульма,UUA
Кавалерово,KVR
Белая Гора,BGN
Екатеринбург,SVX
Амдерма,AMV
Среднеколымск,SEK
Вершинские,ВЕШ
Анапа,AAQ
Нефтекамск,NEF
Батагай,BQJ
Астрахань,ASF
Поляна Чегет,ПЛЧ
Хужир,ХЖР
Южно-Курильск,DEE
Пуг-Юг,ПУГ
Когалым,KGP
Новокузнецк,NOZ
Красноярск,KJA
посёлок Провидения,PVS
Сыктывкар,SCW
Стрелка-Чуня,СЧУ
Старый Оскол,СОЛ
Слаутное,СЛУ
Великий Новгород,NVR
Ессей,ЕСИ
Геленджик,GDZ
Удское,УДС
Омск,OMS
Ставрополь,STW
Курск,URS
Орёл,OEL
Великие Луки,VLU
Депутатский,DPT
Алдан,ADH
Пахачи,ПАЧ
Новороссийск,NOI
Якутск,YKS
Казань,KZN
Оссора,ОСО
Красный Чикой,КСЧ
Амгу,АМУ
Зея,ЗЕЯ
Ессентуки,ЕСН
Жиганск,ZIX
Кислокан,КСЮ
Братск,BTK
Петропавловск-Камчатский,PKC
Терней,ТЕЙ
Аян,АЯН
Палана,ПАН
Терскол,ТЕЬ
Хаилино,ХАИ
Единка,ЕДИ
Тула,TYA
Мирюга,МГА
Усть-Илимск,UIK
Тобольск,RMZ
Барнаул,BAX
Нюрба,NYR
Курган,KRO
Чита,HTA
Котлас,KSZ
Балаково,BWO
Зырянка,ZKP
Залив Лаврентия,ЗЛА
Нелькан,НЛН
Харута,ХАУ
Кисловодск,КСВ
Тында,TYD
Саскылах,SYS
Шушенское,ШУШ
Кострома,KMW
Магадан,GDX
Махачкала,MCX
Сеймчан,СМЧ
Поронайск,ПАЙ
Толька,ТЬК
Уренгой,UEN
Магнитогорск,MQF
Улан-Удэ,UUD
Горно-Алтайск,RGK
Белоярский,EYK
Салехард,SLY
Пенза,PEZ
Подволочное,ПДВ
Ноглики,NGK
Таганрог,TGK
Сочи,AER
Элиста,ESL
Ханты-Мансийск,HMA
Куюмба,КЮМ
Ачайваям,АЧВ
Тура,GOY
Байкит,BKA
Пермь,PEE
Сангар,САГ
Сургут,SGC
Богородское,BQG
Ярославль,IAR
Озерная,ОЗР
Игарка,IAA
Усть-Мая,UMS
Тарко-Сале,TQL
Архангельск,ARH
Вологда,VGD
Зональное,ZZO
Новый Уренгой,NUX
Усть-Хайрюзово,УХЙ
Воркута,VKT
Мотыгино,MJY
Адамовка,АДМ
Ноябрьск,NOJ
Шахтёрск,EKS
Новосибирск,OVB
Нижневартовск,NJC
Грозный,GRV
Певек,PWE
Аянка,АЯК
Нефтеюганск,NFG
Оленёк,ONK
Мезень,МЗН
Крабозаводск,КБЗ
Бованенково,BVJ
Смоленск,LNX
Москва,MOW
Тугур,ТУУ
Киренск,KCK
Светлая,СЕЯ
Чиринда,ЧИР
Комсомольск-на-Амуре,KXK
Ухта,UCT
Архыз,АХЗ
Оха,OHH
Железногорск,ЖЕЗ
Победа,ПБЕ
Ейск,EIK
Манилы,МИЛ
Ларьяк,ЛРЯ
Юкта,ЮКТ
Кемерово,KEJ
Бугуруслан,БГГ
Бодайбо,ODO
Домбай,ДМЙ
Ошарово,ОША
Нарьян-Мар,NNM
Эльбрус,ЭЛБ
Светлогорск,SES
Северо-Эвенск,СВЕ
Абакан,ABA
Преображение,RZH
Тюмень,TJM
Чара,CZR
Кировск (Апатиты),KVK
Романтик,РМК
Троицко-Печорск,ТЦП
Чехломей,ЧЕХ
Нижнеангарск,NZG
Краснодар,KRR
Красноселькуп,KKQ
Кызыл,KYZ
Южно-Сахалинск,UUS
Богучаны,BGS
Казачинск,КЗЧ
